municipality,nom_ent,nom_mun,margination,T_mortalidad,T_mortalidad_Rural,T_mortalidad_Urbano,pct_single,avg_children_born,pct_fem_primary_degree,insurance_none,avg_prenatal_consults
1001,Aguascalientes,Aguascalientes,-1.426693925,0.307251127,0.319474237,0,37.1,2.2,22.7,5750,8.378327262
1002,Aguascalientes,Asientos,-0.988097105,0.452898551,0,0.775494378,35,2.9,19.9,129,7.591221405
1003,Aguascalientes,Calvillo,-1.117377348,0.406834825,0.729927007,0,38.9,2.9,17.5,216,7.980946918
1004,Aguascalientes,Cosío,-1.064479411,1.406469761,0,2.283105023,34.5,2.8,18,31,7.732120801
1005,Aguascalientes,Jesús María,-1.229897663,0.53540356,0.404367165,0.792079208,35.6,2.4,18.4,505,8.119191483
1006,Aguascalientes,Pabellón de Arteaga,-1.205984315,0.61500615,0.816326531,0,38,2.6,21,115,7.727439551
1007,Aguascalientes,Rincón de Romos,-1.134162005,1.012965964,1.111111111,0.748502994,37,2.7,21.5,154,7.751216694
1008,Aguascalientes,San José de Gracia,-1.122696921,0,0,0,37.1,3,17.2,21,7.607250755
1009,Aguascalientes,Tepezalá,-1.018944331,0,0,0,35.2,2.9,17.1,55,7.758973379
1010,Aguascalientes,El Llano,-0.949912051,0.692520776,0,1.071811361,35.8,2.9,16.2,37,7.962008979
1011,Aguascalientes,San Francisco de los Romo,-1.217369767,1.042390549,1.038421599,1.050420168,32.5,2.6,19.5,102,7.528345402
2001,Baja California,Ensenada,-1.145878071,0.422246351,0.444398865,0.256213169,34.9,2.2,21.7,3501,7.236548397
2002,Baja California,Mexicali,-1.414574188,0.318215315,0.277003514,1.540832049,34.7,2.2,24,11976,7.385633528
2003,Baja California,Tecate,-1.255139977,0.164365549,0.170125893,0,33.9,2.3,25.1,352,7.073516278
2004,Baja California,Tijuana,-1.372944428,0.605673509,0.606421452,0,35,2.1,23,49162,6.886878051
2005,Baja California,Playas de Rosarito,-1.17658946,0.35391966,0.363768643,0,34,2.2,22.6,824,6.54369491
3001,Baja California Sur,Comondú,-1.136544908,0.818833163,0.734034744,1.253132832,32.3,2.5,29.8,204,7.025381331
3002,Baja California Sur,Mulegé,-0.983878058,0.652032167,0.818665575,0.46339203,31.3,2.3,22.3,179,7.083732164
3003,Baja California Sur,La Paz,-1.383916104,0.361947276,0.380083618,0,35.5,2.1,29.1,1190,7.632860027
3008,Baja California Sur,Los Cabos,-1.112422609,0.171399189,0.183665973,0,32.3,1.9,26.5,579,7.253791189
3009,Baja California Sur,Loreto,-1.031618754,0.879507476,0,11.9047619,31.5,2.3,26.9,51,7.045689634
4001,Campeche,Calkiní,-0.581076585,0.631313131,0.757288906,0,35.8,2.4,17.6,220,7.22209609
4002,Campeche,Campeche,-1.256726669,0.532670455,0.513874615,0.753012048,34.3,2,21.7,666,7.387936461
4003,Campeche,Carmen,-1.064218556,0.256657042,0.27155465,0,31.8,2.1,19.2,1097,6.737682657
4004,Campeche,Champotón,-0.710498117,0.804764204,0.479271507,1.470588235,32,2.6,17.9,517,6.592638518
4005,Campeche,Hecelchakán,-0.620925284,0.561167228,0.823045267,0,34.2,2.4,18.1,339,7.234994526
4006,Campeche,Hopelchén,-0.589340726,1.506591337,0,2.855103498,36.9,2.8,19.9,144,6.868795226
4007,Campeche,Palizada,-0.619356897,2.150537634,4.310344828,0,31.1,2.6,19.9,18,6.270101595
4008,Campeche,Tenabo,-0.535913394,0,0,0,32.5,2.6,19.1,42,7.47276878
4009,Campeche,Escárcega,-0.668881413,0.582863804,0.457247371,1.293661061,34.8,2.7,16,796,5.804513143
4010,Campeche,Calakmul,-0.111989573,0.656598818,0,1.025641026,35.8,3,15,137,6.709684664
4011,Campeche,Candelaria,-0.314186403,0.800320128,1,0.667111408,34.3,3.1,14.8,228,6.270155633
5001,Coahuila de Zaragoza,Abasolo,-1.359424579,0,0,0,28,2.6,20,36,7.480691912
5002,Coahuila de Zaragoza,Acuña,-1.350575909,0.34016498,0.342231348,0,31.2,2.3,19.5,1000,6.430405329
5003,Coahuila de Zaragoza,Allende,-1.409810073,0,0,0,31.7,2.4,18.8,124,8.02564689
5004,Coahuila de Zaragoza,Arteaga,-1.015131241,0.707213579,0,1.552795031,32.1,2.7,19.4,384,6.861246038
5005,Coahuila de Zaragoza,Candela,-1.117834403,0,0,0,31.1,3.1,22.9,21,6.822303922
5006,Coahuila de Zaragoza,Castaños,-1.353961343,0,0,0,30,2.5,22.4,87,8.403988448
5007,Coahuila de Zaragoza,Cuatro Ciénegas,-1.096378245,0,0,0,31.6,2.8,26.1,93,7.466795338
5008,Coahuila de Zaragoza,Escobedo,-1.17421334,0,0,0,30,2.8,20.6,45,7.475074106
5009,Coahuila de Zaragoza,Francisco I. Madero,-1.228108106,0.415713989,0,1.411432604,32.4,2.5,23.4,325,7.196646275
5010,Coahuila de Zaragoza,Frontera,-1.422360005,0.184195985,0.185528757,0,31.1,2.4,24.5,537,8.267469216
5011,Coahuila de Zaragoza,General Cepeda,-0.981444975,0,0,0,33.2,3.1,18.8,141,7.228303645
5012,Coahuila de Zaragoza,Guerrero,-0.979423577,10.86956522,0,10.86956522,30.6,3,18.1,21,7.378436701
5013,Coahuila de Zaragoza,Hidalgo,-1.012409935,0,0,0,29.8,2.7,12,24,6.881140351
5014,Coahuila de Zaragoza,Jiménez,-0.976485898,0,0,0,30.4,2.7,14.7,60,5.867310929
5015,Coahuila de Zaragoza,Juárez,-1.145756848,0,0,0,31.4,2.7,27.4,15,7.63960114
5016,Coahuila de Zaragoza,Lamadrid,-1.317527193,0,0,0,28.5,2.7,18.8,41,7.417097608
5017,Coahuila de Zaragoza,Matamoros,-1.221040479,0.260382763,0,1.230769231,30.8,2.6,20.8,1986,8.059670755
5018,Coahuila de Zaragoza,Monclova,-1.504044399,0.2199978,0.220167327,0,31.6,2.2,24,1471,7.982368848
5019,Coahuila de Zaragoza,Morelos,-1.36355053,1.941747573,2.083333333,0,29.6,2.5,21.4,36,7.953711767
5020,Coahuila de Zaragoza,Múzquiz,-1.29303153,0.53561864,0.377572211,3.289473684,30,2.5,21.6,445,7.543719218
5021,Coahuila de Zaragoza,Nadadores,-1.329193386,0,0,0,30,2.5,23.6,189,7.748730035
5022,Coahuila de Zaragoza,Nava,-1.331421226,1.046025105,1.077586207,0,31.7,2.5,19.7,106,7.788679202
