municipality,nom_ent,nom_mun,pop_fem,urban_pop_birth,urban_pop_fem,rural_pop_birth,rural_pop_fem,no_read,no_ed,no_toilet,no_electricity,no_water,people_per_room,dirt_floor,no_fridge,margination,T_mortalidad,T_mortalidad_Rural,T_mortalidad_Urbano,num_institutions,imss_institutions,issste_institutions,ssa_institutions,opportunidades_institutions,other_institutions,rural_institutions,urban_institutions,pregnancy_beds,post_pregnancy_beds,labor_rooms,ultrasound_systems,doctors,family_physicians,gynecologists,nurses,pct_born_here,pct_entitled_health_serv,pct_imss_insured,pct_issste_insured,pct_sp_insured,pct_other_insured,pct_single,avg_children_born,avg_fem_edu,pct_fem_econ_active,pct_fem_primary_degree,pct_fem_post_grad,pct_unemployed,pct_fem_employed,pct_fem_no_school,pct_disabilies,pct_occupied_dwellings,basico_births,attended_birth_doctor,attended_birth_nurse,attended_birth_ssa,attended_birth_midwife,attended_birth_other,attended_birth_unspecified,birth_procedure_normal,birth_procedure_cesarean,birth_procedure_forceps,birth_procedure_other,birth_procedure_unspecified,fetus_twins,fetus_three_plus,fetus_unspecified,insurance_none,avg_prenatal_consults,avg_mother_pregnancies,prenatal_yes,prenatal_no,prenatal_unspecified,clue_distance,loc_distance,urban_clue_distance,rural_clue_distance,urban_loc_distance,rural_loc_distance,basico_distance,urban_basico_distance,rural_basico_distance
1001,Aguascalientes,Aguascalientes,410581,209115,382764,14318,26898,2.578539254,11.95653936,0.893885885,0.32889604,1.62348005,0.897620569,1.320756038,6.446349283,-1.426693925,0.307251127,0.319474237,0,91,9,5,49,0,28,9,82,28,27,10,18,1740,228,86,2645,75.3,77.1,67.7,10.5,20.6,0.3,37.1,2.2,9.7,40.4,22.7,32.3,6.2,95.9,1.5,3.8,99.5,1,68137,66,23,2,16,104,34856,32147,681,96,568,1266,57,446,5750,8.378327262,2.276330674,67033,569,746,5873.067586,0.004814885,5872.612319,16907.74703,2693.286045,17831.01376,1298.978439,1126.727311,3563.898823
1002,Aguascalientes,Asientos,22980,3397,6494,8370,16247,5.416536952,26.34470452,8.528940231,2.346078607,3.118611009,1.226451244,2.737733975,20.46894447,-0.988097105,0.452898551,0,0.775494378,13,1,1,11,0,0,7,5,0,0,0,0,43,3,0,49,87.5,86.1,23,5.3,72.5,0,35,2.9,7.5,18.7,19.9,12.5,7.6,95.9,1.8,5.2,100,0,4399,9,1,0,4,3,2661,1683,54,7,11,59,9,27,129,7.591221405,2.489583246,4336,42,38,39868.32366,14.9964989,42249.05081,32141.14968,41612.60665,31887.20847,3222.234106,356.4153499,4338.572008
1003,Aguascalientes,Calvillo,27886,7060,13769,7044,13964,6.080663182,29.23679383,1.424111164,0.876006631,2.414565649,1.115807596,2.50247449,8.82141924,-1.117377348,0.406834825,0.729927007,0,24,1,1,20,0,2,9,15,2,0,1,2,110,2,10,181,85.6,82.7,13.7,5,81.8,0.4,38.9,2.9,7.1,26.7,17.5,11.9,9.7,97,2.5,6.7,99.9,0,4897,13,2,0,1,3,2747,2139,17,6,7,85,2,24,216,7.980946918,2.535907297,4861,10,45,7677.117867,0.764348952,7620.978793,9028.955586,6736.738531,9144.34152,2217.384809,1155.421294,3247.504877
1004,Aguascalientes,Cosío,7716,1343,2535,2596,5104,4.268610358,22.45303756,5.738783141,1.948553251,1.699811528,1.205934716,3.40759294,20.73987708,-1.064479411,1.406469761,0,2.283105023,4,0,1,2,0,1,1,3,0,0,0,0,10,0,0,18,89.9,85.5,21.7,9.7,70,0.1,34.5,2.8,7.8,20.4,18,18.3,8.5,94.2,2,6.8,99.9,0,1417,3,0,1,1,0,818,591,13,0,0,18,0,7,31,7.732120801,2.47557329,1384,26,12,29704.46413,10.06392388,33307.57613,21294.87687,32862.91545,20710.41348,1948.219251,186.597744,2798.812916
1005,Aguascalientes,Jesús María,50500,18758,34587,8226,15585,3.680137765,18.60622285,1.967792047,1.11283897,2.465130264,1.150190581,2.567474767,9.784622653,-1.229897663,0.53540356,0.404367165,0.792079208,9,1,0,8,0,0,4,5,0,0,0,0,48,17,0,55,82.2,77.2,60.2,5.4,33.2,0.1,35.6,2.4,8.6,36.9,18.4,24.9,4.9,97.7,2.2,3.3,99.5,0,7452,8,3,2,1,5,4299,3022,75,11,64,112,2,61,505,8.119191483,2.542164018,7309,85,77,15293.32048,0.493222343,15304.65701,14218.98337,12842.7104,11775.68151,2203.037719,1212.359538,4342.984322
1006,Aguascalientes,Pabellón de Arteaga,21692,8680,16429,2497,4974,3.918638216,18.95357174,1.800120061,0.925775835,3.947957049,1.123966127,1.472900554,12.17112902,-1.205984315,0.61500615,0.816326531,0,6,1,1,4,0,0,1,5,3,0,1,1,103,6,11,163,87.8,80.8,39.7,15.7,45.5,0.1,38,2.6,8.6,29.8,21,26.8,8.4,96.1,1.8,4.4,99.7,0,3238,9,1,1,1,2,1962,1264,19,1,6,53,3,5,115,7.727439551,2.447129701,3201,31,20,11794.30086,0.59020474,11801.39059,10903.43102,11198.27044,10341.5954,940.1745908,364.3102405,2719.873406
1007,Aguascalientes,Rincón de Romos,25089,9505,17949,3474,6741,4.542585829,19.58336486,3.841997701,0.745069798,3.026553707,1.166647612,3.547645394,14.98382907,-1.134162005,1.012965964,1.111111111,0.748502994,18,1,1,13,0,3,2,16,2,2,2,2,115,7,10,204,91.1,80.2,28.1,13.8,58.2,0.1,37,2.7,8.5,28,21.5,26.3,9.3,96.3,2.4,4.7,99.9,0,4931,4,0,0,1,0,2618,2272,34,6,6,71,0,16,154,7.751216694,2.467697767,4832,59,45,11749.95544,0.678657855,11682.20782,16245.62212,11272.78059,15853.81751,847.0226184,243.1372254,2354.116487
1008,Aguascalientes,San José de Gracia,4400,1350,2581,893,1786,3.309335663,18.95085669,10.62640685,1.492220538,4.595545659,1.142140235,1.468193059,19.09472368,-1.122696921,0,0,0,7,0,1,6,0,0,5,2,0,0,0,0,14,0,0,18,93.9,89.8,10.1,13,79.1,0.1,37.1,3,8.1,25,17.2,20.3,14.7,94.4,1.1,7,99.2,1,803,1,1,1,0,0,513,280,9,0,4,8,0,6,21,7.607250755,2.466218,795,5,6,22792.92921,6.449312675,22874.76225,21772.32496,22718.93917,21697.77678,3460.755974,279.338935,7918.902092
1009,Aguascalientes,Tepezalá,10068,2048,3999,3035,5971,5.64241265,27.26408542,5.573302573,1.486963494,2.199719646,1.204777303,2.409255949,18.8486236,-1.018944331,0,0,0,6,0,0,5,0,1,3,3,0,0,0,0,14,0,0,20,93.1,84.5,21.5,5.9,72.9,0.1,35.2,2.9,7.4,19.7,17.1,14.2,10.3,97.1,2.5,6.3,100,0,1962,1,1,0,0,1,1092,844,19,2,8,30,0,6,55,7.758973379,2.55677819,1935,18,12,21625.16685,8.067307483,23152.35093,15721.55287,22891.73467,15435.92605,2116.084277,431.2979073,3236.612699
1010,Aguascalientes,El Llano,9255,1477,2720,3352,6351,5.490503665,25.50041762,8.952548332,2.843766359,3.827215371,1.182575951,2.303908116,20.66888576,-0.949912051,0.692520776,0,1.071811361,6,0,1,5,0,0,5,1,1,8,1,0,13,0,0,21,92.3,82.4,27.7,6.9,66.1,0,35.8,2.9,7.3,19.7,16.2,15.9,6.6,97.2,2,6,99.9,0,1440,2,1,0,0,1,905,491,22,3,23,23,0,10,37,7.962008979,2.440736796,1417,6,21,33844.80328,13.93919566,35051.90774,27090.492,37218.66927,29208.34357,4874.381595,190.0066297,6757.689394
