cve,entidad,pob
1,AGUASCALIENTES,-1.426693925
2,ASIENTOS,-0.988097105
3,CALVILLO,-1.117377348
4,COSÍO,-1.064479411
5,JESÚS MARÍA,-1.229897663
6,PABELLÓN DE ARTEAGA,-1.205984315
7,RINCÓN DE ROMOS,-1.134162005
8,SAN JOSÉ DE GRACIA,-1.122696921
9,TEPEZALÁ,-1.018944331
10,EL LLANO,-0.949912051
11,SAN FRANCISCO DE LOS ROMO,-1.217369767
12,ENSENADA,-1.145878071
13,MEXICALI,-1.414574188
14,TECATE,-1.255139977
15,TIJUANA,-1.372944428
16,PLAYAS DE ROSARITO,-1.17658946
17,COMONDÚ,-1.136544908
18,MULEGÉ,-0.983878058
19,LA PAZ,-1.383916104
20,LOS CABOS,-1.112422609
21,LORETO,-1.031618754
22,CALKINÍ,-0.581076585
23,CAMPECHE,-1.256726669
24,CARMEN,-1.064218556
25,CHAMPOTÓN,-0.710498117
26,HECELCHAKÁN,-0.620925284
27,HOPELCHÉN,-0.589340726
28,PALIZADA,-0.619356897
29,TENABO,-0.535913394
30,ESCÁRCEGA,-0.668881413
31,CALAKMUL,-0.111989573
32,CANDELARIA,-0.314186403
33,ABASOLO,-1.359424579
34,ACUÑA,-1.350575909
35,ALLENDE,-1.409810073
36,ARTEAGA,-1.015131241
37,CANDELA,-1.117834403
38,CASTAÑOS,-1.353961343
39,CUATRO CIÉNEGAS,-1.096378245
40,ESCOBEDO,-1.17421334
41,FRANCISCO I. MADERO,-1.228108106
42,FRONTERA,-1.422360005
43,GENERAL CEPEDA,-0.981444975
44,GUERRERO,-0.979423577
45,HIDALGO,-1.012409935
46,JIMÉNEZ,-0.976485898
47,JUÁREZ,-1.145756848
48,LAMADRID,-1.317527193
49,MATAMOROS,-1.221040479
50,MONCLOVA,-1.504044399
51,MORELOS,-1.36355053
52,MÚZQUIZ,-1.29303153
53,NADADORES,-1.329193386
54,NAVA,-1.331421226
55,OCAMPO,-0.982784433
56,PARRAS,-1.188678901
57,PIEDRAS NEGRAS,-1.433370849
58,PROGRESO,-1.17130668
59,RAMOS ARIZPE,-1.39920487
60,SABINAS,-1.443266656
61,SACRAMENTO,-1.324398185
62,SALTILLO,-1.47482116
63,SAN BUENAVENTURA,-1.461562928
64,SAN JUAN DE SABINAS,-1.440104027
65,SAN PEDRO,-1.143361491
66,SIERRA MOJADA,-1.202290463
67,TORREÓN,-1.470280663
68,VIESCA,-0.995820174
69,VILLA UNIÓN,-1.265820973
70,ZARAGOZA,-1.250754787
71,ARMERÍA,-0.876934665
72,COLIMA,-1.392796668
73,COMALA,-1.047826604
74,COQUIMATLÁN,-1.053288842
75,CUAUHTÉMOC,-1.252946283
76,IXTLAHUACÁN,-0.842996321
77,MANZANILLO,-1.267956843
78,MINATITLÁN,-1.06064299
79,TECOMÁN,-0.903087516
80,VILLA DE ÁLVAREZ,-1.471172906
81,ACACOYAGUA,-0.365069537
82,ACALA,-0.310608153
83,ACAPETAHUA,-0.225452821
84,ALTAMIRANO,0.198349004
85,AMATÁN,0.291063008
86,AMATENANGO DE LA FRONTERA,-0.202122459
87,AMATENANGO DEL VALLE,0.758377589
88,ANGEL ALBINO CORZO,-0.247841546
89,ARRIAGA,-0.738782763
90,BEJUCAL DE OCAMPO,0.008238003
91,BELLA VISTA,-0.282638577
92,BERRIOZÁBAL,-0.252370655
93,BOCHIL,-0.105415221
94,EL BOSQUE,0.242825529
95,CACAHOATÁN,-0.576362671
96,CATAZAJÁ,-0.556159609
97,CINTALAPA,-0.508127889
98,COAPILLA,-0.145396483
99,COMITÁN DE DOMÍNGUEZ,-0.735738995
100,LA CONCORDIA,-0.140993324
101,COPAINALÁ,-0.384308086
