cve,entidad,pob
1,Aguascalientes,0.319474237
2,Asientos,0
3,Calvillo,0.729927007
4,Cosío,0
5,Jesús María,0.404367165
6,Pabellón de Arteaga,0.816326531
7,Rincón de Romos,1.111111111
8,San José de Gracia,0
9,Tepezalá,0
10,El Llano,0
11,San Francisco de los Romo,1.038421599
12,Ensenada,0.444398865
13,Mexicali,0.277003514
14,Tecate,0.170125893
15,Tijuana,0.606421452
16,Playas de Rosarito,0.363768643
17,Comondú,0.734034744
18,Mulegé,0.818665575
19,La Paz,0.380083618
20,Los Cabos,0.183665973
21,Loreto,0
22,Calkiní,0.757288906
23,Campeche,0.513874615
24,Carmen,0.27155465
25,Champotón,0.479271507
26,Hecelchakán,0.823045267
27,Hopelchén,0
28,Palizada,4.310344828
29,Tenabo,0
30,Escárcega,0.457247371
31,Calakmul,0
32,Candelaria,1
33,Abasolo,0
34,Acuña,0.342231348
35,Allende,0
36,Arteaga,0
37,Candela,0
38,Castaños,0
39,Cuatro Ciénegas,0
40,Escobedo,0
41,Francisco I. Madero,0
42,Frontera,0.185528757
43,General Cepeda,0
44,Guerrero,0
45,Hidalgo,0
46,Jiménez,0
47,Juárez,0
48,Lamadrid,0
49,Matamoros,0
50,Monclova,0.220167327
51,Morelos,2.083333333
52,Múzquiz,0.377572211
53,Nadadores,0
54,Nava,1.077586207
55,Ocampo,0
56,Parras,0.372856078
57,Piedras Negras,0.229042602
58,Progreso,0
59,Ramos Arizpe,0.40866367
60,Sabinas,0.492368291
61,Sacramento,0
62,Saltillo,0.46262522
63,San Buenaventura,0
64,San Juan de Sabinas,0.404694456
65,San Pedro,0.277970813
66,Sierra Mojada,8
67,Torreón,0.381267078
68,Viesca,0
69,Villa Unión,0
70,Zaragoza,0
71,Armería,1.178550383
72,Colima,0.107365257
73,Comala,0
74,Coquimatlán,0
75,Cuauhtémoc,0
76,Ixtlahuacán,0
77,Manzanillo,0.353169698
78,Minatitlán,0
79,Tecomán,0.103993344
80,Villa de Álvarez,0.268240343
81,Acacoyagua,0
82,Acala,0
83,Acapetahua,0
84,Altamirano,0
85,Amatán,0
86,Amatenango de la Frontera,0
87,Amatenango del Valle,0
88,Angel Albino Corzo,1.443001443
89,Arriaga,1.639344262
90,Bejucal de Ocampo,0
91,Bella Vista,0
92,Berriozábal,0.462962963
93,Bochil,0.538213132
94,El Bosque,0
95,Cacahoatán,0
96,Catazajá,0
97,Cintalapa,0.570939195
98,Coapilla,4.255319149
99,Comitán de Domínguez,0.261210274
100,La Concordia,0
101,Copainalá,1.890359168
102,Chalchihuitán,0
103,Chamula,9.523809524
104,Chanal,5.555555556
105,Chapultenango,0
106,Chenalhó,18.29268293
107,Chiapa de Corzo,0.216076059
108,Chiapilla,0
109,Chicoasén,0
110,Chicomuselo,0
111,Chilón,0
112,Escuintla,2.320185615
113,Francisco León,0
114,Frontera Comalapa,0
115,Frontera Hidalgo,0
116,La Grandeza,0
117,Huehuetán,0.846023689
118,Huixtán,0
119,Huitiupán,0
120,Huixtla,0.501253133
