cve,entidad,pob
1,AGUASCALIENTES,37.1
2,ASIENTOS,35
3,CALVILLO,38.9
4,COSÍO,34.5
5,JESÚS MARÍA,35.6
6,PABELLÓN DE ARTEAGA,38
7,RINCÓN DE ROMOS,37
8,SAN JOSÉ DE GRACIA,37.1
9,TEPEZALÁ,35.2
10,EL LLANO,35.8
11,SAN FRANCISCO DE LOS ROMO,32.5
12,ENSENADA,34.9
13,MEXICALI,34.7
14,TECATE,33.9
15,TIJUANA,35
16,PLAYAS DE ROSARITO,34
17,COMONDÚ,32.3
18,MULEGÉ,31.3
19,LA PAZ,35.5
20,LOS CABOS,32.3
21,LORETO,31.5
22,CALKINÍ,35.8
23,CAMPECHE,34.3
24,CARMEN,31.8
25,CHAMPOTÓN,32
26,HECELCHAKÁN,34.2
27,HOPELCHÉN,36.9
28,PALIZADA,31.1
29,TENABO,32.5
30,ESCÁRCEGA,34.8
31,CALAKMUL,35.8
32,CANDELARIA,34.3
33,ABASOLO,28
34,ACUÑA,31.2
35,ALLENDE,31.7
36,ARTEAGA,32.1
37,CANDELA,31.1
38,CASTAÑOS,30
39,CUATRO CIÉNEGAS,31.6
40,ESCOBEDO,30
41,FRANCISCO I. MADERO,32.4
42,FRONTERA,31.1
43,GENERAL CEPEDA,33.2
44,GUERRERO,30.6
45,HIDALGO,29.8
46,JIMÉNEZ,30.4
47,JUÁREZ,31.4
48,LAMADRID,28.5
49,MATAMOROS,30.8
50,MONCLOVA,31.6
51,MORELOS,29.6
52,MÚZQUIZ,30
53,NADADORES,30
54,NAVA,31.7
55,OCAMPO,31.5
56,PARRAS,34.6
57,PIEDRAS NEGRAS,32.6
58,PROGRESO,30.5
59,RAMOS ARIZPE,30.2
60,SABINAS,31.1
61,SACRAMENTO,30
62,SALTILLO,33.9
63,SAN BUENAVENTURA,29.5
64,SAN JUAN DE SABINAS,29.8
65,SAN PEDRO,31.8
66,SIERRA MOJADA,28.1
67,TORREÓN,34.3
68,VIESCA,30.6
69,VILLA UNIÓN,30.1
70,ZARAGOZA,30.3
71,ARMERÍA,33.4
72,COLIMA,37.8
73,COMALA,36.9
74,COQUIMATLÁN,36.7
75,CUAUHTÉMOC,35
76,IXTLAHUACÁN,34
77,MANZANILLO,33.2
78,MINATITLÁN,34.6
79,TECOMÁN,33.6
80,VILLA DE ÁLVAREZ,37
81,ACACOYAGUA,36.8
82,ACALA,32
83,ACAPETAHUA,34.2
84,ALTAMIRANO,35.7
85,AMATÁN,35.3
86,AMATENANGO DE LA FRONTERA,34.7
87,AMATENANGO DEL VALLE,35.2
88,ANGEL ALBINO CORZO,36.5
89,ARRIAGA,31.9
90,BEJUCAL DE OCAMPO,39.9
91,BELLA VISTA,35.8
92,BERRIOZÁBAL,32.4
93,BOCHIL,36.7
94,EL BOSQUE,38.5
95,CACAHOATÁN,36.4
96,CATAZAJÁ,32.4
97,CINTALAPA,34.1
98,COAPILLA,34.5
99,COMITÁN DE DOMÍNGUEZ,32.9
100,LA CONCORDIA,35.6
101,COPAINALÁ,36.8
102,CHALCHIHUITÁN,37.9
103,CHAMULA,37.3
104,CHANAL,35.1
105,CHAPULTENANGO,41.7
106,CHENALHÓ,37.5
107,CHIAPA DE CORZO,32.4
108,CHIAPILLA,30.4
109,CHICOASÉN,34
110,CHICOMUSELO,34.7
111,CHILÓN,42.4
112,ESCUINTLA,35.6
113,FRANCISCO LEÓN,43.9
114,FRONTERA COMALAPA,33.8
115,FRONTERA HIDALGO,34.8
116,LA GRANDEZA,39.6
117,HUEHUETÁN,34.4
118,HUIXTÁN,41
119,HUITIUPÁN,36.5
120,HUIXTLA,34
121,LA INDEPENDENCIA,31.5
122,IXHUATÁN,34.1
123,IXTACOMITÁN,37.8
124,IXTAPA,36.9
125,IXTAPANGAJOYA,36.8
126,JIQUIPILAS,31.7
127,JITOTOL,34.9
128,JUÁREZ,34.4
129,LARRÁINZAR,39.6
130,LA LIBERTAD,31.1
131,MAPASTEPEC,34.7
132,LAS MARGARITAS,34.4
133,MAZAPA DE MADERO,35.6
134,MAZATÁN,32.1
135,METAPA,33.7
136,MITONTIC,32.7
137,MOTOZINTLA,38
138,NICOLÁS RUÍZ,30.3
139,OCOSINGO,38.6
140,OCOTEPEC,37.2
141,OCOZOCOAUTLA DE ESPINOSA,34.7
142,OSTUACÁN,37.2
143,OSUMACINTA,33.8
144,OXCHUC,39.4
145,PALENQUE,36.9
146,PANTELHÓ,38
147,PANTEPEC,35.5
148,PICHUCALCO,35.5
149,PIJIJIAPAN,31.9
150,EL PORVENIR,39.3
151,VILLA COMALTITLÁN,35.9
152,PUEBLO NUEVO SOLISTAHUACÁN,36.2
153,RAYÓN,36.4
154,REFORMA,32.5
155,LAS ROSAS,32.5
156,SABANILLA,37
157,SALTO DE AGUA,39.6
158,SAN CRISTÓBAL DE LAS CASAS,37.4
159,SAN FERNANDO,30.3
160,SILTEPEC,38.5
161,SIMOJOVEL,39.1
162,SITALÁ,37
163,SOCOLTENANGO,32.6
164,SOLOSUCHIAPA,36.5
165,SOYALÓ,34
166,SUCHIAPA,31.9
167,SUCHIATE,34
168,SUNUAPA,38.6
169,TAPACHULA,35.1
170,TAPALAPA,35.9
171,TAPILULA,35
172,TECPATÁN,35.6
173,TENEJAPA,38.2
174,TEOPISCA,36
175,TILA,38.5
176,TONALÁ,31.8
177,TOTOLAPA,33.6
178,LA TRINITARIA,31.9
179,TUMBALÁ,41.6
180,TUXTLA GUTIÉRREZ,36.1
181,TUXTLA CHICO,34.8
182,TUZANTÁN,35.6
183,TZIMOL,31.3
184,UNIÓN JUÁREZ,37.2
185,VENUSTIANO CARRANZA,31.4
186,VILLA CORZO,32.8
187,VILLAFLORES,32.2
188,YAJALÓN,38.1
189,SAN LUCAS,33
190,ZINACANTÁN,39.9
191,SAN JUAN CANCUC,40.1
192,ALDAMA,38.5
193,BENEMÉRITO DE LAS AMÉRICAS,36.9
194,MARAVILLA TENEJAPA,37.5
195,MARQUÉS DE COMILLAS,37.6
196,MONTECRISTO DE GUERRERO,37
197,SAN ANDRÉS DURAZNAL,28.7
198,SANTIAGO EL PINAR,36.8
199,CHIHUAHUA,31.7
200,AHUMADA,30.1
201,ALDAMA,32.6
202,ALLENDE,29.2
203,AQUILES SERDÁN,31
204,ASCENSIÓN,25.4
205,BACHÍNIVA,33.6
206,BALLEZA,31.3
207,BATOPILAS,33
208,BOCOYNA,29.1
209,BUENAVENTURA,32.4
210,CAMARGO,30.3
211,CARICHÍ,30.3
212,CASAS GRANDES,31.3
213,CORONADO,28.3
214,COYAME DEL SOTOL,30.9
215,LA CRUZ,32
216,CUAUHTÉMOC,28.2
217,CUSIHUIRIACHI,35.5
218,CHIHUAHUA,35.1
219,CHÍNIPAS,32.6
220,DELICIAS,26.4
221,DR. BELISARIO DOMÍNGUEZ,33.3
222,GALEANA,34.2
223,SANTA ISABEL,28.5
224,GÓMEZ FARÍAS,28.9
225,GRAN MORELOS,29.8
226,GUACHOCHI,34.6
227,GUADALUPE,34.7
228,GUADALUPE Y CALVO,34.6
229,GUAZAPARES,30.6
230,GUERRERO,34.6
231,HIDALGO DEL PARRAL,30.8
232,HUEJOTITÁN,26.3
233,IGNACIO ZARAGOZA,32.1
234,JANOS,33.7
235,JIMÉNEZ,33.3
236,JUÁREZ,29.9
237,JULIMES,30.4
238,LÓPEZ,30.6
239,MADERA,28.2
240,MAGUARICHI,26.9
241,MANUEL BENAVIDES,32
242,MATACHÍ,31.7
243,MATAMOROS,31.3
