cve,entidad,pob
1,Aguascalientes,37.1
2,Asientos,35
3,Calvillo,38.9
4,Cosío,34.5
5,Jesús María,35.6
6,Pabellón de Arteaga,38
7,Rincón de Romos,37
8,San José de Gracia,37.1
9,Tepezalá,35.2
10,El Llano,35.8
11,San Francisco de los Romo,32.5
12,Ensenada,34.9
13,Mexicali,34.7
14,Tecate,33.9
15,Tijuana,35
16,Playas de Rosarito,34
17,Comondú,32.3
18,Mulegé,31.3
19,La Paz,35.5
20,Los Cabos,32.3
21,Loreto,31.5
22,Calkiní,35.8
23,Campeche,34.3
24,Carmen,31.8
25,Champotón,32
26,Hecelchakán,34.2
27,Hopelchén,36.9
28,Palizada,31.1
29,Tenabo,32.5
30,Escárcega,34.8
31,Calakmul,35.8
32,Candelaria,34.3
33,Abasolo,28
34,Acuña,31.2
35,Allende,31.7
36,Arteaga,32.1
37,Candela,31.1
38,Castaños,30
39,Cuatro Ciénegas,31.6
40,Escobedo,30
41,Francisco I. Madero,32.4
42,Frontera,31.1
43,General Cepeda,33.2
44,Guerrero,30.6
45,Hidalgo,29.8
46,Jiménez,30.4
47,Juárez,31.4
48,Lamadrid,28.5
49,Matamoros,30.8
50,Monclova,31.6
51,Morelos,29.6
52,Múzquiz,30
53,Nadadores,30
54,Nava,31.7
55,Ocampo,31.5
56,Parras,34.6
57,Piedras Negras,32.6
58,Progreso,30.5
59,Ramos Arizpe,30.2
60,Sabinas,31.1
61,Sacramento,30
62,Saltillo,33.9
63,San Buenaventura,29.5
64,San Juan de Sabinas,29.8
65,San Pedro,31.8
66,Sierra Mojada,28.1
67,Torreón,34.3
68,Viesca,30.6
69,Villa Unión,30.1
70,Zaragoza,30.3
71,Armería,33.4
72,Colima,37.8
73,Comala,36.9
74,Coquimatlán,36.7
75,Cuauhtémoc,35
76,Ixtlahuacán,34
77,Manzanillo,33.2
78,Minatitlán,34.6
79,Tecomán,33.6
80,Villa de Álvarez,37
81,Acacoyagua,36.8
82,Acala,32
83,Acapetahua,34.2
84,Altamirano,35.7
85,Amatán,35.3
86,Amatenango de la Frontera,34.7
87,Amatenango del Valle,35.2
88,Angel Albino Corzo,36.5
89,Arriaga,31.9
90,Bejucal de Ocampo,39.9
91,Bella Vista,35.8
92,Berriozábal,32.4
93,Bochil,36.7
94,El Bosque,38.5
95,Cacahoatán,36.4
96,Catazajá,32.4
97,Cintalapa,34.1
98,Coapilla,34.5
99,Comitán de Domínguez,32.9
100,La Concordia,35.6
101,Copainalá,36.8
102,Chalchihuitán,37.9
103,Chamula,37.3
104,Chanal,35.1
105,Chapultenango,41.7
106,Chenalhó,37.5
107,Chiapa de Corzo,32.4
108,Chiapilla,30.4
109,Chicoasén,34
110,Chicomuselo,34.7
111,Chilón,42.4
112,Escuintla,35.6
113,Francisco León,43.9
114,Frontera Comalapa,33.8
115,Frontera Hidalgo,34.8
116,La Grandeza,39.6
117,Huehuetán,34.4
118,Huixtán,41
119,Huitiupán,36.5
120,Huixtla,34
121,La Independencia,31.5
122,Ixhuatán,34.1
123,Ixtacomitán,37.8
124,Ixtapa,36.9
125,Ixtapangajoya,36.8
126,Jiquipilas,31.7
127,Jitotol,34.9
128,Juárez,34.4
129,Larráinzar,39.6
130,La Libertad,31.1
131,Mapastepec,34.7
132,Las Margaritas,34.4
133,Mazapa de Madero,35.6
134,Mazatán,32.1
135,Metapa,33.7
136,Mitontic,32.7
137,Motozintla,38
138,Nicolás Ruíz,30.3
139,Ocosingo,38.6
140,Ocotepec,37.2
141,Ocozocoautla de Espinosa,34.7
142,Ostuacán,37.2
143,Osumacinta,33.8
144,Oxchuc,39.4
145,Palenque,36.9
146,Pantelhó,38
147,Pantepec,35.5
148,Pichucalco,35.5
149,Pijijiapan,31.9
150,El Porvenir,39.3
151,Villa Comaltitlán,35.9
152,Pueblo Nuevo Solistahuacán,36.2
153,Rayón,36.4
154,Reforma,32.5
155,Las Rosas,32.5
156,Sabanilla,37
157,Salto de Agua,39.6
158,San Cristóbal de las Casas,37.4
159,San Fernando,30.3
160,Siltepec,38.5
161,Simojovel,39.1
162,Sitalá,37
163,Socoltenango,32.6
164,Solosuchiapa,36.5
165,Soyaló,34
166,Suchiapa,31.9
167,Suchiate,34
168,Sunuapa,38.6
169,Tapachula,35.1
170,Tapalapa,35.9
171,Tapilula,35
172,Tecpatán,35.6
173,Tenejapa,38.2
174,Teopisca,36
175,Tila,38.5
176,Tonalá,31.8
177,Totolapa,33.6
178,La Trinitaria,31.9
179,Tumbalá,41.6
180,Tuxtla Gutiérrez,36.1
181,Tuxtla Chico,34.8
182,Tuzantán,35.6
183,Tzimol,31.3
184,Unión Juárez,37.2
185,Venustiano Carranza,31.4
186,Villa Corzo,32.8
187,Villaflores,32.2
188,Yajalón,38.1
189,San Lucas,33
190,Zinacantán,39.9
191,San Juan Cancuc,40.1
192,Aldama,38.5
193,Benemérito de las Américas,36.9
194,Maravilla Tenejapa,37.5
195,Marqués de Comillas,37.6
196,Montecristo de Guerrero,37
197,San Andrés Duraznal,28.7
198,Santiago el Pinar,36.8
199,Ahumada,31.7
200,Aldama,30.1
201,Allende,32.6
202,Aquiles Serdán,29.2
203,Ascensión,31
204,Bachíniva,25.4
205,Balleza,33.6
206,Batopilas,31.3
207,Bocoyna,33
208,Buenaventura,29.1
209,Camargo,32.4
210,Carichí,30.3
211,Casas Grandes,30.3
212,Coronado,31.3
213,Coyame del Sotol,28.3
214,La Cruz,30.9
215,Cuauhtémoc,32
216,Cusihuiriachi,28.2
217,Chihuahua,35.5
218,Chínipas,35.1
219,Delicias,32.6
220,Dr. Belisario Domínguez,26.4
221,Galeana,33.3
222,Santa Isabel,34.2
223,Gómez Farías,28.5
224,Gran Morelos,28.9
225,Guachochi,29.8
226,Guadalupe,34.6
227,Guadalupe y Calvo,34.7
228,Guazapares,34.6
229,Guerrero,30.6
230,Hidalgo del Parral,34.6
231,Huejotitán,30.8
232,Ignacio Zaragoza,26.3
233,Janos,32.1
234,Jiménez,33.7
235,Juárez,33.3
236,Julimes,29.9
237,López,30.4
238,Madera,30.6
239,Maguarichi,28.2
240,Manuel Benavides,26.9
241,Matachí,32
242,Matamoros,31.7
243,Meoqui,31.3
244,Morelos,32
245,Moris,29.1
246,Namiquipa,28.3
247,Nonoava,30
248,Nuevo Casas Grandes,32.2
249,Ocampo,30.3
250,Ojinaga,30.5
251,Praxedis G. Guerrero,34.1
252,Riva Palacio,36
253,Rosales,30.6
254,Rosario,30.7
255,San Francisco de Borja,26.4
256,San Francisco de Conchos,32.3
257,San Francisco del Oro,33.8
258,Santa Bárbara,33
259,Satevó,31.6
260,Saucillo,31.1
261,Temósachic,29.2
262,El Tule,30.6
263,Urique,32.5
264,Uruachi,34.2
265,Valle de Zaragoza,28.9
266,Azcapotzalco,38.6
267,Coyoacán,38.8
268,Cuajimalpa de Morelos,36.4
269,Gustavo A. Madero,37.3
270,Iztacalco,38.2
271,Iztapalapa,36.5
272,La Magdalena Contreras,35.6
273,Milpa Alta,33.4
274,Álvaro Obregón,37
275,Tláhuac,35
276,Tlalpan,36.9
277,Xochimilco,35.7
278,Benito Juárez,39.7
279,Cuauhtémoc,41.2
280,Miguel Hidalgo,39.3
281,Venustiano Carranza,38.6
282,Canatlán,34.4
283,Canelas,32.5
284,Coneto de Comonfort,34.3
285,Cuencamé,33
286,Durango,37
287,General Simón Bolívar,31.3
288,Gómez Palacio,33.2
289,Guadalupe Victoria,31.6
290,Guanaceví,30.9
291,Hidalgo,33.3
