cve,entidad,pob
1,Aguascalientes,0.307251127
2,Aguascalientes,0.452898551
3,Aguascalientes,0.406834825
4,Aguascalientes,1.406469761
5,Aguascalientes,0.53540356
6,Aguascalientes,0.61500615
7,Aguascalientes,1.012965964
8,Aguascalientes,0
9,Aguascalientes,0
10,Aguascalientes,0.692520776
11,Aguascalientes,1.042390549
12,Baja California,0.422246351
13,Baja California,0.318215315
14,Baja California,0.164365549
15,Baja California,0.605673509
16,Baja California,0.35391966
17,Baja California Sur,0.818833163
18,Baja California Sur,0.652032167
19,Baja California Sur,0.361947276
20,Baja California Sur,0.171399189
21,Baja California Sur,0.879507476
22,Campeche,0.631313131
23,Campeche,0.532670455
24,Campeche,0.256657042
25,Campeche,0.804764204
26,Campeche,0.561167228
27,Campeche,1.506591337
28,Campeche,2.150537634
29,Campeche,0
30,Campeche,0.582863804
31,Campeche,0.656598818
32,Campeche,0.800320128
33,Coahuila de Zaragoza,0
34,Coahuila de Zaragoza,0.34016498
35,Coahuila de Zaragoza,0
36,Coahuila de Zaragoza,0.707213579
37,Coahuila de Zaragoza,0
38,Coahuila de Zaragoza,0
39,Coahuila de Zaragoza,0
40,Coahuila de Zaragoza,0
41,Coahuila de Zaragoza,0.415713989
42,Coahuila de Zaragoza,0.184195985
43,Coahuila de Zaragoza,0
44,Coahuila de Zaragoza,10.86956522
45,Coahuila de Zaragoza,0
46,Coahuila de Zaragoza,0
47,Coahuila de Zaragoza,0
48,Coahuila de Zaragoza,0
49,Coahuila de Zaragoza,0.260382763
50,Coahuila de Zaragoza,0.2199978
51,Coahuila de Zaragoza,1.941747573
52,Coahuila de Zaragoza,0.53561864
53,Coahuila de Zaragoza,0
54,Coahuila de Zaragoza,1.046025105
55,Coahuila de Zaragoza,0
56,Coahuila de Zaragoza,0.295420975
57,Coahuila de Zaragoza,0.228728271
58,Coahuila de Zaragoza,0
59,Coahuila de Zaragoza,0.386249517
60,Coahuila de Zaragoza,0.472032098
61,Coahuila de Zaragoza,0
62,Coahuila de Zaragoza,0.475184794
63,Coahuila de Zaragoza,0
64,Coahuila de Zaragoza,1.050052503
65,Coahuila de Zaragoza,0.244498778
66,Coahuila de Zaragoza,3.937007874
67,Coahuila de Zaragoza,0.396717683
68,Coahuila de Zaragoza,0
69,Coahuila de Zaragoza,0
70,Coahuila de Zaragoza,0
71,Colima,1.071811361
72,Colima,0.100371374
73,Colima,0
74,Colima,0
75,Colima,0
76,Colima,0
77,Colima,0.338839475
78,Colima,0
79,Colima,0.196831021
80,Colima,0.263469899
81,Chiapas,1.479289941
82,Chiapas,0
